GET | 404 | /static/js/main.458d58b1.js | 4.789 ms | ::1 | - | 16:37:12
GET | 304 | /static/css/main.5da68ca8.css | 2.558 ms | ::1 | - | 16:37:12
GET | 304 | /favicon.ico | 4.345 ms | ::1 | - | 16:37:12
GET | 304 | /manifest.json | 2.333 ms | ::1 | - | 16:37:12
GET | 200 | /logo192.png | 2.817 ms | ::1 | - | 16:37:12
GET | 304 | /warehouse/ | 1.787 ms | ::1 | - | 16:37:13
GET | 404 | /static/js/main.458d58b1.js | 5.416 ms | ::1 | - | 16:37:13
GET | 304 | /static/css/main.5da68ca8.css | 3.572 ms | ::1 | - | 16:37:13
GET | 304 | /manifest.json | 5.123 ms | ::1 | - | 16:37:13
GET | 304 | /favicon.ico | 2.826 ms | ::1 | - | 16:37:13
GET | 304 | /logo192.png | 0.980 ms | ::1 | - | 16:37:13
GET | 304 | /warehouse/ | 1.834 ms | ::1 | - | 16:37:15
GET | 404 | /static/js/main.458d58b1.js | 4.670 ms | ::1 | - | 16:37:15
GET | 304 | /static/css/main.5da68ca8.css | 2.761 ms | ::1 | - | 16:37:15
GET | 304 | /favicon.ico | 4.457 ms | ::1 | - | 16:37:15
GET | 304 | /manifest.json | 2.938 ms | ::1 | - | 16:37:15
GET | 304 | /logo192.png | 1.278 ms | ::1 | - | 16:37:16
GET | 304 | /warehouse/ | 1.972 ms | ::1 | - | 16:37:21
GET | 404 | /static/js/main.458d58b1.js | 7.128 ms | ::1 | - | 16:37:21
GET | 304 | /static/css/main.5da68ca8.css | 4.276 ms | ::1 | - | 16:37:21
GET | 304 | /favicon.ico | 2.165 ms | ::1 | - | 16:37:21
GET | 304 | /manifest.json | 2.978 ms | ::1 | - | 16:37:21
GET | 304 | /logo192.png | 1.264 ms | ::1 | - | 16:37:21
GET | 304 | /warehouse/ | 1.841 ms | ::1 | - | 16:37:22
GET | 404 | /static/js/main.458d58b1.js | 5.401 ms | ::1 | - | 16:37:22
GET | 304 | /static/css/main.5da68ca8.css | 3.918 ms | ::1 | - | 16:37:22
GET | 304 | /favicon.ico | 4.043 ms | ::1 | - | 16:37:22
GET | 304 | /manifest.json | 2.071 ms | ::1 | - | 16:37:22
GET | 304 | /logo192.png | 0.982 ms | ::1 | - | 16:37:22
GET | 304 | /warehouse/ | 2.190 ms | ::1 | - | 16:37:22
GET | 404 | /static/js/main.458d58b1.js | 5.364 ms | ::1 | - | 16:37:22
GET | 304 | /static/css/main.5da68ca8.css | 3.232 ms | ::1 | - | 16:37:22
GET | 304 | /favicon.ico | 7.543 ms | ::1 | - | 16:37:22
GET | 304 | /manifest.json | 3.648 ms | ::1 | - | 16:37:22
GET | 304 | /logo192.png | 5.525 ms | ::1 | - | 16:37:22
GET | 304 | /warehouse/ | 3.080 ms | ::1 | - | 16:37:22
GET | 404 | /static/js/main.458d58b1.js | 5.233 ms | ::1 | - | 16:37:22
GET | 304 | /static/css/main.5da68ca8.css | 3.643 ms | ::1 | - | 16:37:22
GET | 304 | /favicon.ico | 5.954 ms | ::1 | - | 16:37:23
GET | 304 | /manifest.json | 3.018 ms | ::1 | - | 16:37:23
GET | 304 | /logo192.png | 1.250 ms | ::1 | - | 16:37:23
GET | 304 | /warehouse/ | 2.170 ms | ::1 | - | 16:37:23
GET | 404 | /static/js/main.458d58b1.js | 8.125 ms | ::1 | - | 16:37:23
GET | 304 | /static/css/main.5da68ca8.css | 7.112 ms | ::1 | - | 16:37:23
GET | 304 | /manifest.json | 3.850 ms | ::1 | - | 16:37:23
GET | 304 | /favicon.ico | 2.480 ms | ::1 | - | 16:37:23
GET | 304 | /logo192.png | 1.223 ms | ::1 | - | 16:37:23
GET | 304 | /warehouse/ | 1.420 ms | ::1 | - | 16:37:23
GET | 404 | /static/js/main.458d58b1.js | 6.363 ms | ::1 | - | 16:37:23
GET | 304 | /static/css/main.5da68ca8.css | 3.221 ms | ::1 | - | 16:37:23
GET | 304 | /favicon.ico | 7.447 ms | ::1 | - | 16:37:23
GET | 304 | /manifest.json | 2.724 ms | ::1 | - | 16:37:23
GET | 304 | /logo192.png | 1.386 ms | ::1 | - | 16:37:23
GET | 304 | / | 1.245 ms | ::1 | - | 16:37:26
GET | 304 | /static/js/main.106080de.js | 5.468 ms | ::1 | - | 16:37:26
GET | 304 | /static/css/main.5da68ca8.css | 2.464 ms | ::1 | - | 16:37:26
GET | 304 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 4.948 ms | ::1 | - | 16:37:26
GET | 304 | /static/media/simpleShiny.c28a7e6148b72e87a981a66aa195fa0d.svg | 2.142 ms | ::1 | - | 16:37:26
GET | 304 | /static/media/server.fccdcc5589fc2007f74d2b74387929b2.svg | 2.538 ms | ::1 | - | 16:37:26
GET | 304 | /static/media/padlock.4f2477cec25d06b9789a5facd41b48c3.svg | 1.380 ms | ::1 | - | 16:37:26
GET | 304 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 8.182 ms | ::1 | - | 16:37:26
GET | 304 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 5.705 ms | ::1 | - | 16:37:26
